index,X,Y,FID,FEATURE_ID,NAME,ADDRESS,ADDRESS2,ADDRESS3,CITY,STATE,ZIP,COUNTY,PHONE,LATITUDE,LONGITUDE,MATCHSTATU,PLACEMENT,CENSUSCODE,BUSINESSNA,cluster
517,-77.49972499,38.23229999,4518,25848,Authorized Shipping Outlet,5438 Southpoint Way, , ,Fredericksburg,VA,22407,Spotsylvania,540-891-0881,38.2323,-77.499725,OK, ,511770203013000,Mailhouse Plus,7
520,-78.33724901,37.90998702,4521,26807,Authorized Shipping Outlet,265 Turkey Sag Trl, , ,Palmyra,VA,22963,Fluvanna,434-589-9602,37.909987,-78.337249,OK, ,510650201003041,Mailbox Express,4
521,-77.52786302,38.24392602,4522,25933,Authorized Shipping Outlet,10400 Courthouse Rd, , ,Spotsylvania,VA,22553,Spotsylvania,540-891-0881,38.243926,-77.527863,OK, ,511770203023000,Mailhouse Plus,7
523,-78.43602,38.13136999,4524,26394,The UPS Store,3445 Seminole Trl, , ,Charlottesville,VA,22911,Albemarle,434-975-1100,38.13137,-78.43602,OK, ,510030103001001, ,4
524,-77.46100501,37.67092501,4525,25971,The UPS Store,9962 Brook Rd, , ,Glen Allen,VA,23059,Henrico,804-565-9565,37.670925,-77.461005,OK, ,510872009031006, ,3
542,-77.47143101,37.76145899,4543,26044,Authorized Shipping Outlet,225 N Washington Hwy, , ,Ashland,VA,23005,Hanover,804-752-1650,37.761459,-77.471431,OK, ,510853206013022,Postnet,3
545,-77.52496999,37.65856399,4546,26045,The UPS Store,10286 Staples Mill Rd, , ,Glen Allen,VA,23060,Henrico,804-755-4877,37.658564,-77.52497,OK, ,510872004052014, ,3
546,-78.47961801,38.07766001,4547,26425,UPS Alliance Location,600 Shoppers World Ct, , ,Charlottesville,VA,22901,Albemarle,804-975-0501,38.07766,-78.479618,OK, ,510030107001002,Staples Aso 00320,4
547,-77.49688901,37.61424199,4548,26046,The UPS Store,7109 Staples Mill Rd, , ,Richmond,VA,23228,Henrico,804-266-3477,37.614242,-77.496889,OK, ,510872005031060, ,3
549,-78.437235,38.12778401,4550,26426,Authorized Shipping Outlet,1748 Timberwood Blvd, , ,Charlottesville,VA,22911,Albemarle,434-964-1817,38.127784,-78.437235,OK, ,510030103001003,Copy Right,4
550,-77.57727198,37.64599298,4551,26047,The UPS Store,10307 W Broad St, , ,Glen Allen,VA,23060,Henrico,804-968-5900,37.645993,-77.577272,OK, ,510872001191014, ,3
552,-78.47137,38.08756998,4553,26427,Authorized Shipping Outlet,1900 Rio Hill Center, , ,Charlottesville,VA,22901,Albemarle,434-817-6245,38.08757,-78.47137,OK, ,510030108001009,"Signed,sealed & Delivered",4
555,-78.48533099,38.06887998,4556,26428,The UPS Store,977 Seminole Trl, , ,Charlottesville,VA,22901,Albemarle,434-973-6700,38.06888,-78.485331,OK, ,515400008004000, ,4
566,-78.41577799,38.01847601,4567,26432,UPS Customer Center,2440 Hunters Way, , ,Charlottesville,VA,22911,Albemarle,800-742-5877,38.018476,-78.415778,OK, ,510030104004025,Staffed Location,4
567,-77.57877,37.44422102,4568,26856,The UPS Store,9947 Hull St, , ,Richmond,VA,23236,Chesterfield,804-745-8870,37.444221,-77.57877,OK, , , ,3
570,-77.51221799,37.37599798,4571,26857,The UPS Store,6933 Commons Plz, , ,Chesterfield,VA,23832,Chesterfield,804-751-0505,37.375998,-77.512218,OK, ,510411008092003, ,3
573,-77.56145599,37.535019,4574,26858,The UPS Store,2711 Buford Rd, , ,Richmond,VA,23235,Chesterfield,804-560-5560,37.535019,-77.561456,OK, ,510411009021016, ,3
576,-77.59340999,37.60503001,4577,26859,The UPS Store,9702 Gayton Rd, , ,Richmond,VA,23238,Henrico,804-740-2986,37.60503,-77.59341,OK, ,510872001162020, ,3
592,-78.48837799,38.063522,4593,26594,UPS Alliance Location,270 Zan Rd, , ,Charlottesville,VA,22901,Albemarle,804-975-1000,38.063522,-78.488378,OK, ,515400008004003,Office Depot/Copy Center,4
593,-77.58932599,37.68274002,4594,26910,Authorized Shipping Outlet,11357 Nuckols Rd, , ,Glen Allen,VA,23059,Henrico,804-762-7300,37.68274,-77.589326,OK, ,510872001181012,Postnet,3
621,-78.48807699,38.03651,4622,26696,Authorized Shipping Outlet,805 Preston Ave, , ,Charlottesville,VA,22903,Charlottesville City,804-977-8462,38.03651,-78.488077,OK, ,515400002021002,Blue Ridge Pak & Ship,4
624,-78.51223102,38.04305202,4625,26697,Authorized Shipping Outlet,2123 Ivy Rd,Ste B, ,Charlottesville,VA,22903,Charlottesville City,804-984-2121,38.043052,-78.512231,OK, ,515400007004002,Package Depot,4
630,-77.56259702,37.64173201,4631,27081,UPS Alliance Location,9700 W Broad St, , ,Glen Allen,VA,23060,Henrico,804-935-0300,37.641732,-77.562597,OK, ,510872001194008,Office Depot/Copy Ctr,3
633,-77.583669,37.64678802,4634,27082,Authorized Shipping Outlet,10831 W Broad St, , ,Glen Allen,VA,23060,Henrico,804-346-8645,37.646788,-77.583669,OK, ,510872001191013,Mail Room,3
636,-78.48478401,38.032625,4637,26701,UPS Alliance Location,243 Ridge McIntire Rd, , ,Charlottesville,VA,22903,Charlottesville City,434-977-5506,38.032625,-78.484784,OK, ,515400001001010,Staples Aso 01297,4
638,-78.45764299,38.031134,4639,26702,Authorized Shipping Outlet,536 Pantops Ctr, , ,Charlottesville,VA,22911,Albemarle,434-971-5911,38.031134,-78.457643,OK, ,510030105002013,Pack N Mail,4
665,-78.99315998,38.08372101,4666,26747,UPS Customer Center,74 Expo Rd, , ,Fishersville,VA,22939,Augusta,800-742-5877,38.083721,-78.99316,OK, ,510150709004000,Staffed Location,4
679,-77.64824101,37.43035399,4680,26842,The UPS Store,13141 Ritten House Dr, , ,Midlothian,VA,23112,Chesterfield,804-744-7769,37.430354,-77.648241,Zip Centroid,\nPlacement: Zip Centroid,510411009124001, ,3
701,-79.21908699,37.44781499,4702,21489,The UPS Store,4925 Boonsboro Rd, , ,Lynchburg,VA,24503,Lynchburg City,434-384-3933,37.447815,-79.219087,OK, ,516800001003008, ,5
735,-79.17771401,37.37309599,4736,26769,UPS Customer Center,5235 Woodall Rd, , ,Lynchburg,VA,24502,Lynchburg City,800-742-5877,37.373096,-79.177714,OK, ,516800014002025,Staffed Location,5
7219,-82.58458101,36.98240399,7220,13599,Authorized Shipping Outlet,204 Rigg Ave, , ,Wise,VA,24293,Wise,276-328-2800,36.982404,-82.584581,OK, ,511959909001025,Rigg Properties,6
9006,-76.53392498,37.15320199,3007,27114,Authorized Shipping Outlet,435 Oriana Rd,2, ,Newport News,VA,23608,Newport News City,757-872-8128,37.153202,-76.533925,Zip Centroid,\nPlacement: Zip Centroid,517000321241007,Parcel Plus Store Number031,0
9015,-76.72042899,37.25931402,3016,26912,The UPS Store,5251 John Tyler Hwy,18, ,Williamsburg,VA,23185,James City,757-221-0113,37.259314,-76.720429,Zip Centroid,\nPlacement: Zip Centroid,518303701003010, ,0
9033,-76.71975401,37.283098,3034,26922,UPS Alliance Location,1320 Richmond Rd, , ,Williamsburg,VA,23185,James City,757-253-1985,37.283098,-76.719754,OK, ,518303703003002,Staples Aso 00710,0
9035,-76.75832099,37.30822501,3036,26923,UPS Alliance Location,4900 Monticello Ave,2, ,Williamsburg,VA,23188,James City,757-259-1640,37.308225,-76.758321,Zip Centroid,\nPlacement: Zip Centroid,510950802012000,Office Depot/Copy Center,3
9057,-76.46954902,37.11499799,3058,26943,The UPS Store,5007 Victory Blvd, , ,Yorktown,VA,23693,York,757-877-7957,37.114998,-76.469549,OK, ,511990503013011, ,0
9059,-76.47737999,37.07834699,3060,26944,The UPS Store,11712 Jefferson Ave, , ,Newport News,VA,23606,Newport News City,757-873-0384,37.078347,-76.47738,OK, ,517000321152021, ,0
9061,-76.42593198,37.063846,3062,26945,The UPS Store,26 Towne Centre Way, , ,Hampton,VA,23666,Hampton City,757-838-9365,37.063846,-76.425932,OK, ,516500103081022, ,0
9073,-77.390619,37.24625298,3074,26966,UPS Alliance Location,84 Southgate Sq, , ,Colonial Heights,VA,23834,Colonial Heights City,804-524-9010,37.246253,-77.390619,OK, ,515708301003020,Staples Aso 00318,3
9080,-76.75832099,37.30822501,3081,27199,Authorized Shipping Outlet,4680 Monticello Ave,18i, ,Williamsburg,VA,23188,James City,757-565-5102,37.308225,-76.758321,Zip Centroid,\nPlacement: Zip Centroid,510950802012000,Parcel Plus,3
9089,-77.41219601,37.35157999,3090,27307,The UPS Store,12750 Jeff Davis Hwy, , ,Chester,VA,23831,Chesterfield,804-768-8012,37.35158,-77.412196,OK, ,510411005053001, ,3
9096,-76.132638,36.903903,3097,27525,The UPS Store,4701 Shore Dr, , ,Virginia Beach,VA,23455,Virginia Beach City,757-460-2753,36.903903,-76.132638,OK, ,518100418012011, ,0
9098,-76.04019298,36.87663799,3099,27526,The UPS Store,1340 N Greatneck Rd, , ,Virginia Beach,VA,23454,Virginia Beach City,757-496-9584,36.876638,-76.040193,OK, ,518100444021001, ,0
9100,-76.134703,36.87415498,3101,27527,The UPS Store,1083 Independence Blvd, , ,Virginia Beach,VA,23455,Virginia Beach City,757-460-7460,36.874155,-76.134703,OK, ,518100408011000, ,0
9130,-76.38592901,37.04240899,3131,27542,UPS Alliance Location,1082 Mercury Blvd, , ,Hampton,VA,23666,Hampton City,757-838-7610,37.042409,-76.385929,OK, ,516500103052002,Office Depot/Copy Ctr,0
9132,-76.327176,37.05678101,3133,27543,Authorized Shipping Outlet,227 Fox Hill Rd, , ,Hampton,VA,23669,Hampton City,757-851-5815,37.056781,-76.327176,OK, ,516500107032007,The Box Outlet,0
9134,-76.39229799,37.048368,3135,27544,Authorized Shipping Outlet,110 Coliseum Crossing, , ,Hampton,VA,23666,Hampton City,757-838-7447,37.048368,-76.392298,OK, ,516500103053000,Pack and Mail,0
9136,-76.41819599,37.03239998,3137,27545,Authorized Shipping Outlet,3303 W Mercury Blvd, , ,Hampton,VA,23666,Hampton City,757-838-7446,37.0324,-76.418196,OK, ,516500104005008,U-Box,0
9149,-76.60577599,36.96344602,3150,27553,Authorized Shipping Outlet,1915 S Church St, , ,Smithfield,VA,23430,Isle Of Wight,757-357-7959,36.963446,-76.605776,OK, ,510932801021023,Office Express Plus,0
9151,-76.41996401,36.87689298,3152,27554,Authorized Shipping Outlet,6546 Town Point Rd, , ,Suffolk,VA,23435,Suffolk City,757-484-0800,36.876893,-76.419964,OK, ,518000751002060,Goin' Postal,0
9165,-76.168235,36.81452502,3166,27560,Authorized Shipping Outlet,5264 Fairfield Shopping Center, , ,Virginia Beach,VA,23464,Virginia Beach City,757-467-5488,36.814525,-76.168235,OK, ,518100460021009,Jack Rabbit Postal Center,0
9172,-76.21806599,36.80889399,3173,27561,Authorized Shipping Outlet,6525 Auburn Dr, , ,Virginia Beach,VA,23464,Virginia Beach City,757-523-0805,36.808894,-76.218066,OK, ,518100462052004,Jeralu Enterprise Llc,0
9176,-76.16690401,36.79507602,3177,27562,Authorized Shipping Outlet,5040 Ferrell Pkwy, , ,Virginia Beach,VA,23464,Virginia Beach City,757-467-4400,36.795076,-76.166904,OK, ,518100462131005,Aaaa Self Storage,0
9182,-76.16604499,36.79525299,3183,27563,Authorized Shipping Outlet,5020 Ferrell Pkwy, , ,Virginia Beach,VA,23464,Virginia Beach City,757-216-7000,36.795253,-76.166045,OK, ,518100462131005,Postnet,0
9185,-76.173779,36.80022201,3186,27564,Authorized Shipping Outlet,5300 Kempsriver Dr,126, ,Virginia Beach,VA,23464,Virginia Beach City,757-523-8801,36.800222,-76.173779,Zip Centroid,\nPlacement: Zip Centroid,518100462062019,The Express Shop,0
9189,-76.150141,36.78746701,3190,27565,Authorized Shipping Outlet,4221 Pleasant Valley Rd, , ,Virginia Beach,VA,23464,Virginia Beach City,804-467-6569,36.787467,-76.150141,OK, ,518100462132008,Mail Werks Store Number4,0
9228,-76.35904099,36.81077098,3229,16453,The UPS Store,4006 Victory Blvd, , ,Portsmouth,VA,23701,Portsmouth City,757-405-3570,36.810771,-76.359041,OK, ,517402127011000, ,0
9298,-76.272627,36.915945,3299,28239,Authorized Shipping Outlet,7649 Granby St, , ,Norfolk,VA,23505,Norfolk City,757-489-8309,36.915945,-76.272627,OK, ,517100013001000,Copies and More,0
9302,-76.31748,36.92768998,3303,28240,Authorized Shipping Outlet,8206 Hampton Blvd, , ,Norfolk,VA,23505,Norfolk City,757-423-4622,36.92769,-76.31748,OK, ,517100011002010,U.S. Pak-N-,0
9306,-76.28147599,36.85211099,3307,28243,Authorized Shipping Outlet,645 Church St, , ,Norfolk,VA,23510,Norfolk City,757-622-7446,36.852111,-76.281476,OK, ,517100042001033,Universal Pack & Ship,0
9325,-76.199379,36.85522801,3326,28322,UPS Alliance Location,5957 E Virginia Beach, , ,Norfolk,VA,23502,Norfolk City,757-455-5889,36.855228,-76.199379,OK, ,517100069012004,Office Depot/Copy Center,0
9328,-76.16292099,36.86994099,3329,28325,Authorized Shipping Outlet,5393 Weslyan Dr, , ,Virginia Beach,VA,23455,Virginia Beach City,757-552-0039,36.869941,-76.162921,OK, ,518100404021001,Point To Point,0
9333,-76.13238601,36.86301099,3334,28326,Authorized Shipping Outlet,717 Independence Blvd, , ,Virginia Beach,VA,23455,Virginia Beach City,757-473-0678,36.863011,-76.132386,OK, ,518100408012010,Pak N Post,0
9337,-76.209467,36.86358998,3338,28327,Authorized Shipping Outlet,5680 Lowery Rd, , ,Norfolk,VA,23502,Norfolk City,757-461-4344,36.86359,-76.209467,OK, ,517100067001016,Aaaa Self Storage-Lowery,0
9382,-76.24358602,36.74181799,3383,19479,The UPS Store,109 Gainesborough Sq, , ,Chesapeake,VA,23320,Chesapeake City,757-549-6622,36.741818,-76.243586,OK, ,515500209012004, ,0
9385,-76.24442998,36.771602,3386,19480,The UPS Store,732 Eden Way N, , ,Chesapeake,VA,23320,Chesapeake City,757-424-5326,36.771602,-76.24443,OK, ,515500208052007, ,0
9388,-76.19176698,36.77958499,3389,19481,The UPS Store,1920 Centerville Tpke, , ,Virginia Beach,VA,23464,Virginia Beach City,757-479-4634,36.779585,-76.191767,OK, ,518100462188000, ,0
9391,-76.20281499,36.85565198,3392,19482,The UPS Store,5802 E Virginia Beach Blvd, , ,Norfolk,VA,23502,Norfolk City,757-466-8666,36.855652,-76.202815,OK, ,517100069011002, ,0
9406,-76.065349,36.752335,3407,19487,The UPS Store,2476 Nimmo Pkwy, , ,Virginia Beach,VA,23456,Virginia Beach City,757-430-6300,36.752335,-76.065349,OK, ,518100454101002, ,0
9423,-75.994154,36.78306501,3424,19527,The UPS Store,2133 Upton Dr,126, ,Virginia Beach,VA,23454,Virginia Beach City,757-430-7881,36.783065,-75.994154,OK, , , ,0
9425,-76.12380998,36.78958301,3426,19529,The UPS Store,2085 Lynnhaven Pkwy, , ,Virginia Beach,VA,23456,Virginia Beach City,757-471-6471,36.789583,-76.12381,OK, ,518100460081001, ,0
9443,-76.40971599,36.824154,3444,19553,Authorized Shipping Outlet,4107 Portsmouth Blvd, , ,Chesapeake,VA,23321,Chesapeake City,757-488-9058,36.824154,-76.409716,OK, ,515500215023000,Pac N Mail,0
9446,-76.285038,36.717601,3447,19554,Authorized Shipping Outlet,1245 Cedar Rd,Ste G, ,Chesapeake,VA,23322,Chesapeake City,757-549-2139,36.717601,-76.285038,OK, ,515500210061012,Mail Werx,0
9449,-76.24290499,36.74138299,3450,19555,Authorized Shipping Outlet,681 N Battlefield Blvd, , ,Chesapeake,VA,23320,Chesapeake City,757-436-3486,36.741383,-76.242905,OK, ,515500209012014,Mail Werks,0
9453,-76.39386401,36.86259399,3454,27581,Authorized Shipping Outlet,5758 Churchland Blvd, , ,Portsmouth,VA,23703,Portsmouth City,757-484-2647,36.862594,-76.393864,OK, ,517402131013024,The Village Mailbox,0
9454,-76.01368601,36.76734399,3455,19584,Authorized Shipping Outlet,2129 General Booth Blvd, , ,Virginia Beach,VA,23454,Virginia Beach City,757-430-0997,36.767344,-76.013686,OK, ,518100454174000,Pak Mail,0
9457,-76.00906801,36.76238498,3458,19585,Authorized Shipping Outlet,1169 Nimmo Pkwy, , ,Virginia Beach,VA,23456,Virginia Beach City,757-430-7500,36.762385,-76.009068,OK, ,518100454193029,The Box Office,0
9460,-75.99915102,36.786708,3461,19586,Authorized Shipping Outlet,1581 General Booth Blvd, , ,Virginia Beach,VA,23454,Virginia Beach City,757-491-3278,36.786708,-75.999151,OK, ,518100454081000,Mail Express,0
9463,-76.300951,36.87761102,3464,27582,Authorized Shipping Outlet,1090 W 35th St, , ,Norfolk,VA,23508,Norfolk City,757-423-3281,36.877611,-76.300951,OK, ,517100027003003,Aaaa Self Storage -35th St,0
9465,-76.07385801,36.81349601,3466,19587,The UPS Store,800 S Lynnhaven Rd, , ,Virginia Beach,VA,23452,Virginia Beach City,757-306-1877,36.813496,-76.073858,OK, ,518100454071018, ,0
9467,-75.994282,36.85198502,3468,19595,The UPS Store,576 N Birdneck Rd, , ,Virginia Beach,VA,23451,Virginia Beach City,757-282-6233,36.851985,-75.994282,OK, ,518100440012003, ,0
9470,-76.150428,36.82140398,3471,19596,The UPS Store,4876 Princess Anne Rd, , ,Virginia Beach,VA,23462,Virginia Beach City,757-497-2028,36.821404,-76.150428,OK, ,518100460052004, ,0
9475,-75.97355398,36.84533998,3476,19597,The UPS Store,4001 Virginia Beach Blvd,117, ,Virginia Beach,VA,23451,Virginia Beach City,757-963-2741,36.84534,-75.973554,OK, ,518100440023038, ,0
9545,-76.29235201,36.86923898,3546,27591,The UPS Store,520 W 21st St, , ,Norfolk,VA,23517,Norfolk City,757-626-1766,36.869239,-76.292352,OK, ,517100037001006, ,0
9587,-76.53130898,36.95221301,3588,27944,Authorized Shipping Outlet,13478 Carrollton Blvd, , ,Carrollton,VA,23314,Isle Of Wight,757-238-8727,36.952213,-76.531309,OK, ,510932801031012,Goin Postal Store Number123,0
9604,-76.48752698,37.09438698,3605,27952,UPS Alliance Location,11971 Jefferson Ave, , ,Newport News,VA,23606,Newport News City,757-249-0800,37.094387,-76.487527,OK, ,517000321151009,Office Depot/Copy Ctr,0
9669,-76.286941,36.868013,3670,28255,Authorized Shipping Outlet,222 W 21st St, , ,Norfolk,VA,23517,Norfolk City,757-626-0065,36.868013,-76.286941,OK, ,517100036001009,Pak Mail 172,0
9764,-76.08095801,36.79300602,3765,28120,Authorized Shipping Outlet,3208 Holland Rd, , ,Virginia Beach,VA,23453,Virginia Beach City,757-468-9010,36.793006,-76.080958,OK, ,518100454062016,Mail Werks,0
9767,-76.02530502,36.84937201,3768,28148,UPS Alliance Location,551 Hilltop Plaza Shopp, , ,Virginia Beach,VA,23454,Virginia Beach City,757-417-6400,36.849372,-76.025305,OK, ,518100448053000,Office Depot/Copy Ctr,0
9768,-76.07531399,36.91058102,3769,28149,Authorized Shipping Outlet,2973 Shore Dr, , ,Virginia Beach,VA,23451,Virginia Beach City,757-321-6636,36.910581,-76.075314,OK, ,518100430014011,The Box Office,0
9770,-76.01829602,36.85147998,3771,28150,Authorized Shipping Outlet,1624 Laskin Rd, , ,Virginia Beach,VA,23451,Virginia Beach City,800-742-5877,36.85148,-76.018296,OK, ,518100446004008,The Box Office,0
9816,-76.21828301,36.88414999,3817,28221,UPS Customer Center,3313 Croft St, , ,Norfolk,VA,23513,Norfolk City,800-742-5877,36.88415,-76.218283,OK, ,517100059022021,Package Pick Up Only,0
9823,-76.19057001,36.89366501,3824,28229,UPS Customer Center,1390 Airrail Ave, , ,Virginia Beach,VA,23455,Virginia Beach City,800-742-5877,36.893665,-76.19057,OK, ,518100402004005,Staffed Location,0
9854,-76.47618001,37.091846,3855,28377,UPS Customer Center,735 Middleground Blvd, , ,Newport News,VA,23606,Newport News City,800-742-5877,37.091846,-76.47618,OK, ,517000321152009,Staffed Location,0
9860,-76.47300501,37.08653001,3861,28423,Authorized Shipping Outlet,701 Town Center Dr, , ,Newport News,VA,23606,Newport News City,757-327-0445,37.08653,-76.473005,OK, ,517000321152016,"Signed, Sealed & Delivered",0
9879,-77.39187898,37.25014602,3880,28639,Authorized Shipping Outlet,798 Southpark Blvd, , ,Colonial Heights,VA,23834,Colonial Heights City,804-520-5111,37.250146,-77.391879,OK, ,515708301003020,Packaging Store,3
9880,-76.58996198,36.76162001,3881,16272,Authorized Shipping Outlet,2425 Pruden Blvd, , ,Suffolk,VA,23434,Suffolk City,757-923-1105,36.76162,-76.589962,OK, ,518000754001089,"Postal Solutions,hq",0
9882,-76.59169901,36.732344,3883,16273,Authorized Shipping Outlet,2815 L Godwin Blvd, , ,Suffolk,VA,23434,Suffolk City,757-934-2113,36.732344,-76.591699,Zip Centroid,\nPlacement: Zip Centroid,518000653002002,Copico,0
9896,-76.50064701,37.78167398,3897,25914,UPS Customer Center,1916 White Chapel Rd, , ,Lancaster,VA,22503,Lancaster,800-742-5877,37.781674,-76.500647,OK, ,511039901004004,Staffed Location,3
9899,-76.38903001,37.72507102,3900,25915,Authorized Shipping Outlet,573 N Main St, , ,Kilmarnock,VA,22482,Lancaster,804-435-9315,37.725071,-76.38903,OK, ,511039902002012,Jeff's Packaging Solutions,3
9946,-76.41779299,36.822655,3947,16451,The UPS Store,4240 Portsmouth Blvd, , ,Chesapeake,VA,23321,Chesapeake City,757-465-8160,36.822655,-76.417793,OK, ,515500215024036, ,0
9949,-76.364216,37.45021901,3950,25969,Authorized Shipping Outlet,10541 Buckley Hall Rd, , ,Mathews,VA,23109,Mathews,804-725-9315,37.450219,-76.364216,Zip Centroid,\nPlacement: Zip Centroid,511159514001048,Joyce's Pack & Ship,0
9952,-77.31009698,37.61653801,3953,26009,The UPS Store,8005 Creighton Pkwy,C, ,Mechanicsville,VA,23111,Hanover,804-746-3007,37.616538,-77.310097,Zip Centroid,\nPlacement: Zip Centroid,510853213004004, ,3
9958,-76.52510801,37.413621,3959,26029,Authorized Shipping Outlet,6740 Main St, , ,Gloucester,VA,23061,Gloucester,757-693-4155,37.413621,-76.525108,OK, ,510731002003016,Office Supply,0
9964,-77.336397,37.612445,3965,26153,Authorized Shipping Outlet,7003 Mechanicsville Tpke, , ,Mechanicsville,VA,23111,Hanover,804-730-2006,37.612445,-77.336397,OK, ,510853213004011,Mail Box & Packaging Ctr,3
9990,-77.41615501,37.40248102,3991,27450,UPS Customer Center,9601 Coach Rd, , ,Richmond,VA,23237,Chesterfield,800-742-5877,37.402481,-77.416155,OK, ,510411004033014,Staffed Location,3
9993,-75.73586702,37.70970199,3994,27502,Authorized Shipping Outlet,152 Market St, , ,Onancock,VA,23417,Accomack,757-787-4646,37.709702,-75.735867,OK, ,510019906003029,Eastern Shore Printers,0
11048,-82.12686198,36.63205401,6049,22998,The UPS Store,3101 Lee Hwy, , ,Bristol,VA,24202,Washington,276-591-1066,36.632054,-82.126862,OK, ,515200204001030, ,6
11312,-82.12605599,36.63211702,6313,29758,UPS Alliance Location,3106 Lee Hwy, , ,Bristol,VA,24202,Washington,276-466-3711,36.632117,-82.126056,OK, ,515200204001027,Office Depot/Copy Center,6
11391,-82.12568699,36.616762,6392,29765,UPS Customer Center,873 Bonham Rd, , ,Bristol,VA,24201,Bristol City,800-742-5877,36.616762,-82.125687,OK, ,515200204001056,Staffed Location,6
11430,-81.250344,37.240628,6431,21072,The UPS Store,4035 College Ave, , ,Bluefield,VA,24605,Tazewell,276-326-2116,37.240628,-81.250344,OK, , , ,2
11431,-82.17645798,36.60827299,6432,29770,Authorized Shipping Outlet,50 Euclid Ave, , ,Bristol,VA,24201,Bristol City,276-466-2269,36.608273,-82.176458,OK, ,515200202003003,Boxworks,6
11584,-81.76442298,37.07241302,6585,16420,UPS Customer Center,41 Church St, , ,Cedar Bluff,VA,24609,Tazewell,800-742-5877,37.072413,-81.764423,Zip Centroid,\nPlacement: Zip Centroid,511859910004009,Staffed Location,6
11859,-81.97458398,36.70450199,6860,22647,The UPS Store,448 Cummings St, , ,Abingdon,VA,24210,Washington,540-623-9045,36.704502,-81.974584,OK, ,511910105005002, ,6
